BDCHM Element	Variable Label	var_name	status	Data Type	UCUM Unit	Ontology CURIE	OMOP Concept ID	Deprecated Codes	Variable Description
MeasurementObservation	Sleep hours	sleep_duration_daily		decimal	h	OBA:2040171	OMOP:40768653		Cumulative amount of time spent sleeping each night
MeasurementObservation	Sodium in blood	sodium_blood		decimal	mmol/L	OBA:VT0001776	OMOP:4097430		Concentration of sodium in blood, typically measured in serum or plasma
MeasurementObservation	Sodium intake	sodium_intak		decimal	mg/d		OMOP:606729		Mass of sodium consumed by an individual per day
MeasurementObservation	SpO2	spo2		decimal	%	OBA:2045443	OMOP:4020553		Percentage of oxygen-carrying hemoglobin in the blood compared to the total amount of hemoglobin. Also known as oxygen saturation.
Condition	Stroke status	stroke		Uriorcurie			OMOP:4212690		
MeasurementObservation	Systolic blood pressure	bp_systolic		integer			OMOP:4152194		Measurement of pressure in your arteries when your heart pumps blood, the top number in a blood pressure reading
DrugExposure	Taking ACE inhibitors	tak_aceinhib		Uriorcurie					
DrugExposure	Taking aldosterone receptor blockers	tak_aldorecepblk		Uriorcurie					
DrugExposure	Taking alpha blockers	tak_alphablk		Uriorcurie					
DrugExposure	Taking angiotensin receptor blockers	tak_angiorecepblk		Uriorcurie					
DrugExposure	Taking beta blockers	tak_betablk		Uriorcurie					
DrugExposure	Taking calcium channel blockers	tak_calchanblk		Uriorcurie					
DrugExposure	Taking centrally acting agents	tak_cenactag		Uriorcurie					
DrugExposure	Taking diuretics	tak_diuret		Uriorcurie					
DrugExposure	Taking insulin	tak_insulin		Uriorcurie					
DrugExposure	Taking medication for diabetes	tak_med_diab		Uriorcurie					
DrugExposure	Taking non statin medication	tak_nstat_med		Uriorcurie					
DrugExposure	Taking oral hypoglycemic agents	tak_orlhypoag		Uriorcurie					
DrugExposure	Taking statin medication	tak_statin		Uriorcurie					
DrugExposure	Taking systemic steroids	tak_steroid		Uriorcurie					
DrugExposure	Taking vasodilators	tak_vasodil		Uriorcurie					
MeasurementObservation	Temperature	bdy_temp		decimal	Cel	OBA:VT0005535	OMOP:4302666		An individual's internal body temperature
MeasurementObservation	TNFa in blood	tnfa		decimal	pg/mL	OBA:2051979	OMOP:3004282		Concentration of TNF in blood, typically measured in serum or plasma. Also known as TNF-alpha, TNFα, and tumor necrosis factor
MeasurementObservation	TNFa-R1 in blood	tnfa_r1		decimal	pg/mL	OBA:2051975	OMOP:46235360		Concentration of TNF receptor 1 in blood, typically measured in serum or plasma. Also known as TNFR1, TNFRSF1A, CD120a, and tumor necrosis factor receptor 1
MeasurementObservation	Total cholesterol in blood	tot_chol_bld		decimal	mg/dL	OBA:VT0000180	OMOP:4008265		Concentration of all cholesterol in your blood, including both HDL and LDL
MeasurementObservation	Triglycerides in blood	triglyc_bld		decimal	mg/dL	OBA:VT0002644	OMOP:4032789		Concentration of triglycerides in blood, typically measured in serum or plasma
MeasurementObservation	Troponin all types	troponin		decimal	ng/mL	OBA:2100051	OMOP:4021291		Concentration of all types of troponin in blood
Condition	Valvular heart disease	valv_hrtdis		Uriorcurie			OMOP:4281749		
MeasurementObservation	Vegetable consumption	vege_serving		integer			OMOP:37311566	OMOP:4042886	Servings of vegetables consumed per week
Condition	Venous thromboembolism	ven_thromb		Uriorcurie			OMOP:4327889		
MeasurementObservation	Von Willebrand factor	willeb_fac		decimal	%{Normal}	OBA:2052741	OMOP:4252203		Concentration of von willebrand factor in blood
MeasurementObservation	Waist circumference	waist_circ		decimal	cm	OBA:1001085	OMOP:4172830		Distance measurement taken around the waist, just above the hip bone
MeasurementObservation	Waist-hip ratio	waist_hip		decimal	{ratio}	OBA:2100052	OMOP:4087501		Ratio of the circumference of the waist to the circumference of the hips
MeasurementObservation	White blood cell count	whtbld_ct		decimal	10*3/uL	OBA:VT0000217	OMOP:4298431		Concentration of white blood cells in whole blood
MeasurementObservation	Spirometry metadata		ignore				OMOP:3002094		
MeasurementObservation	Spirometry metadata		ignore				OMOP:3005600		
MeasurementObservation	Spirometry metadata		ignore				OMOP:3011708		
MeasurementObservation	Spirometry metadata		ignore				OMOP:3022891		
MeasurementObservation	Spirometry metadata		ignore				OMOP:3024594		
MeasurementObservation	Spirometry metadata		ignore				OMOP:4196583		
